ID,RA (deg),DEC (deg),cluster redshift,radial velocity(km/s),Comoving Distance(Mpc/h),r_200(Mpc/h),N_200,sigma_200(km/s),lower error in sigma_200(km/s),upper error in sigma_200(km/s),"M_200 cls mass (10^14 M_sun, NFW)","error in M_200 cls mass (10^14 M_sun, NFW)",R_s (Mpc/h),error in r_s (Mpc/h),"M_s (10^14 M_sun, NFW)","error in M_s (10^14 M_sun, NFW)"
641,167.49435,20.695007,0.1353977,37865.238,393.24094,0.76956633,6,485.7309,-176.49227,280.24151,1.21E+14,4.46E+13,0.26,0.096,3.71E+13,1.37E+13
642,226.28948,26.040251,0.054860395,15996.238,162.41464,0.78984206,29,467.64292,-85.38118,102.68956,1.21E+14,3.75E+13,0.27,0.084,3.74E+13,1.16E+13
643,200.6925,0.17655705,0.10768112,30552.958,314.8391,0.77567663,13,439.75457,-135.08816,136.00994,1.20E+14,5.61E+13,0.12,0.056,2.03E+13,9.47E+12
644,32.555802,-1.060248,0.1740467,47695.026,500.73164,0.75779731,18,431.71058,-77.395123,102.22502,1.20E+14,3.43E+13,0.28,0.08,4.00E+13,1.14E+13
645,161.26644,47.325941,0.1448092,40297.953,419.6137,0.76530427,17,431.5277,-128.38235,230.9739,1.20E+14,5.27E+13,0.2,0.088,2.96E+13,1.30E+13
646,159.84785,1.0225366,0.1144059,32347.532,333.96202,0.77223461,10,461.85869,-129.00382,106.0491,1.19E+14,4.78E+13,0.15,0.06,2.36E+13,9.43E+12
647,168.38855,37.383874,0.1029047,29270.329,301.21763,0.77486775,19,398.18634,-85.04468,142.99895,1.19E+14,3.88E+13,0.48,0.156,6.71E+13,2.18E+13
648,230.08422,28.856473,0.12721435,35729.348,370.2067,0.76816459,14,421.68281,-115.0125,159.23725,1.19E+14,4.19E+13,0.25,0.088,3.54E+13,1.25E+13
649,195.13893,-2.1870725,0.084709347,24323.163,249.03201,0.7783653,15,451.9578,-115.61897,194.18458,1.19E+14,3.30E+13,0.23,0.064,3.25E+13,9.04E+12
650,213.94673,29.460304,0.06747419,19547.263,199.17021,0.78244419,19,435.13542,-103.74178,186.68375,1.19E+14,3.63E+13,0.17,0.052,2.54E+13,7.77E+12
651,175.91528,-1.744947,0.1068903,30341.055,312.58606,0.77231325,20,461.40834,-75.741532,105.04713,1.19E+14,3.56E+13,0.16,0.048,2.45E+13,7.35E+12
